user_id,username,email,phone,age,birthday,address,company,job,credit_score,is_active,registered_at,last_login,tags,profile
625932,taoliang,xiuying84@example.net,13003212824,22,1963-02-12,云南省永安市安次北京街p座 314514,东方峻景科技有限公司,电信交换工程师,457,True,2023-02-10T18:16:44,2026-01-08T11:27:07,"['trial', 'new']","{'avatar': 'https://dummyimage.com/89x360', 'bio': '一切环境情况孩子那个.计划程序以后.', 'website': 'http://wu.net/'}"
766876,yuanyang,lfu@example.net,18612995989,60,1963-10-03,湖南省文市大东徐街k座 804729,晖来计算机信息有限公司,产品/品牌主管,763,False,2022-04-01T23:44:43,2026-02-06T07:06:40,[],"{'avatar': 'https://picsum.photos/566/7', 'bio': '部门安全位置部分非常那个.', 'website': 'http://www.nayong.cn/'}"
230034,lei67,nali@example.net,13330959131,23,1988-08-13,甘肃省重庆市海港夏路F座 349407,快讯网络有限公司,快递员,402,False,2023-03-26T17:27:17,2026-01-16T12:32:00,"['new', 'new', 'new']","{'avatar': 'https://placekitten.com/791/813', 'bio': '其实一直分析程序.', 'website': 'http://www.34.cn/'}"
648699,jingfan,ghou@example.com,13713847706,24,1980-04-08,河南省成市白云王街E座 508963,商软冠联传媒有限公司,电子/电器维修工程师/技师,423,False,2025-03-29T01:40:58,2026-01-30T20:59:30,[],"{'avatar': 'https://dummyimage.com/685x566', 'bio': '制作一起到了解决也是情况.', 'website': 'http://94.cn/'}"
185857,yang72,cgong@example.org,15550035818,50,1984-01-15,辽宁省淑英县高港香港街E座 615670,和泰网络有限公司,视觉设计师,710,True,2024-01-24T18:00:35,2026-01-31T06:33:00,"['new', 'new', 'trial']","{'avatar': 'https://dummyimage.com/944x35', 'bio': '认为开始的是以及经营.发表没有其中生产对于品牌最后.', 'website': 'https://guiyingping.cn/'}"
339676,minxia,yanshi@example.com,18724047815,50,1995-12-16,安徽省重庆县丰都贵阳路X座 267675,时刻信息有限公司,育婴师/保育员,376,True,2025-02-25T15:48:24,2026-02-05T17:52:35,['premium'],"{'avatar': 'https://dummyimage.com/625x905', 'bio': '主题发表之后内容.最新其实地址电子发表研究影响所以.', 'website': 'https://www.01.org/'}"
848389,yong54,qiangluo@example.net,18509366060,28,1971-07-19,上海市琳市大兴昆明路Q座 505871,商软冠联信息有限公司,体育教师,653,False,2024-09-24T21:32:42,2026-01-21T11:27:18,[],"{'avatar': 'https://dummyimage.com/465x852', 'bio': '等级市场要求所以关系回复什么北京.', 'website': 'http://www.gongyao.cn/'}"
918241,dxu,vcui@example.org,18764122474,48,1972-10-29,四川省贵阳市安次张街w座 936676,凌云网络有限公司,培训产品开发,701,False,2023-05-19T12:35:50,2026-01-13T03:22:30,[],"{'avatar': 'https://dummyimage.com/954x354', 'bio': '学生还是因为是否国内没有应用组织.', 'website': 'https://www.pingna.cn/'}"
353693,cdong,xiulanlai@example.com,13029231714,65,2006-09-09,北京市雪县高港白路I座 251753,恩悌网络有限公司,药库主任/药剂师,348,True,2025-07-13T19:22:56,2026-01-11T22:06:26,['vip'],"{'avatar': 'https://placekitten.com/330/25', 'bio': '城市活动深圳必须.', 'website': 'https://gang.cn/'}"
644876,chao66,wding@example.org,13747409205,56,2000-04-07,黑龙江省沈阳县大兴杨路h座 192782,易动力科技有限公司,人事主管,800,False,2022-05-13T03:47:26,2026-01-19T20:30:42,[],"{'avatar': 'https://dummyimage.com/153x211', 'bio': '应用因此他们拥有最大这个要求.决定现在国家您的能够.', 'website': 'http://jie.org/'}"
